Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36.6;y=;21.9
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;8.084454;y=;8.831779
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;10.22822;y=;3.141651
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.187115;y=;5.981857
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-1.40836;y=;0.9950447
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
