Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;40;y=;-33.6
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;32;y=;-14.33159
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.600002;y=;6.051266
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-29.20216;y=;22.4
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
10;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
11;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
12;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;19.61115;y=;4.799999
13;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
14;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
15;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
16;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
17;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
18;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
19;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
20;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-12.58635;y=;-24
21;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
22;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
23;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
24;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;28.65043;y=;1.749577
25;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36;y=;-29.6
26;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
27;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
28;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
29;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;28.09372;y=;2.306282
30;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
31;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
32;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;36;y=;18.26747
33;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
34;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
