Number	Path	Coordinates
81;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.599998;y=;-20.00276
82;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
83;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;8.296364;y=;9.70364
84;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
85;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;48.6;y=;-28.2
86;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
87;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
88;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-48.2;y=;-3.021877
89;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-54.43138;y=;-7.568618
90;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
91;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.239708;y=;-26.23971
92;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;43.10629;y=;16.49372
93;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
94;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
95;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
96;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
97;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;31.8;y=;16.79749
98;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;31.5;y=;28.05
99;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-53;y=;-6.599998
