Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;4.495415;y=;10.32617
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-3.396317;y=;1.740353
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-10.34999;y=;3.522606
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;9.216377;y=;4.834217
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;14.55138;y=;7.263813
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-29.46238;y=;21.08839
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
