Number	Path	Coordinates
0;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.126522;y=;10.29652
1;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.248069;y=;8.263849
2;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
3;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-2.469433;y=;3.763518
4;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
5;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-18.0805;y=;4.577833
6;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform);x=;-5.318945;y=;10.63796
7;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
8;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
9;[0] (UnityEngine.Transform)-[0] (UnityEngine.Transform)
